molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL111370,CHEMBL368,IC50,50000.0,nM,CCCCCCC(P(=O)(OCC)OCC)P(=O)(OCC)OCC,trypanosoma_cruzi
CHEMBL322081,CHEMBL368,IC50,70000.0,nM,CCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL322081,CHEMBL368,IC50,70000.0,nM,CCCCCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL112840,CHEMBL368,IC50,100000.0,nM,CCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL112840,CHEMBL368,IC50,90000.0,nM,CCCC(P(=O)(O)O)P(=O)(O)O,trypanosoma_cruzi
CHEMBL159006,CHEMBL5131,IC50,600.0,nM,CCCCN(CCCC)CCCNC(=O)CCCCC1=C(CCCCC(=O)NCCCN(CCCC)CCCC)C(=O)c2c(O)cccc2C1=O,trypanosoma_cruzi
CHEMBL590,CHEMBL5131,IC50,55000.0,nM,CC1=CC(=O)c2ccccc2C1=O,trypanosoma_cruzi
CHEMBL160637,CHEMBL5131,IC50,300.0,nM,CCCCN(CCCC)CCCNC(=O)CCCCC1=C(C)C(=O)c2cccc(O)c2C1=O,trypanosoma_cruzi
CHEMBL295316,CHEMBL5131,IC50,28000.0,nM,CC1=CC(=O)c2c(O)cccc2C1=O,trypanosoma_cruzi
CHEMBL155801,CHEMBL5131,IC50,1100.0,nM,CCCCN(CCCC)CCCNC(=O)CCCCC1=C(C)C(=O)c2ccccc2C1=O,trypanosoma_cruzi
CHEMBL358636,CHEMBL5131,IC50,500.0,nM,CC1=C(CCCCC(=O)NCCCNCCCNC(=O)CCCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,trypanosoma_cruzi
CHEMBL37625,CHEMBL368,IC50,5000.0,nM,NCCCN1CCN(CCCNCC2CCCCC2)CC1,trypanosoma_cruzi
CHEMBL290270,CHEMBL368,IC50,5000.0,nM,NCCCCC(N)C(=O)NCC1CCC(CNCCCN2CCN(CCCNCC3CCC(CNC(=O)C(N)CCCCN)CC3)CC2)CC1,trypanosoma_cruzi
CHEMBL41307,CHEMBL368,IC50,5000.0,nM,NCCCN1CCN(CCCN)CC1,trypanosoma_cruzi
CHEMBL405454,CHEMBL368,IC50,5000.0,nM,CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)NCC1CCC(CNCCCN2CCN(CCCNCC3CCC(CNC(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)CC3)CC2)CC1,trypanosoma_cruzi
CHEMBL38733,CHEMBL368,IC50,5000.0,nM,NCCCN1CCN(CCCN2C(=O)c3ccccc3C2=O)CC1,trypanosoma_cruzi
CHEMBL41106,CHEMBL368,IC50,5000.0,nM,O=C1c2ccccc2C(=O)N1CCCN1CCN(CCCNCC2CCCCC2)CC1,trypanosoma_cruzi
CHEMBL43023,CHEMBL368,IC50,5000.0,nM,CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)NCC1CCC(CNCCCN2CCN(CCCNCC3CCCCC3)CC2)CC1,trypanosoma_cruzi
CHEMBL290638,CHEMBL368,IC50,5000.0,nM,NCCCCC(N)C(=O)NCC1CCC(CNCCCN2CCN(CCCNCC3CCCCC3)CC2)CC1,trypanosoma_cruzi
CHEMBL39045,CHEMBL368,IC50,5000.0,nM,C1CCC(CNCCCN2CCN(CCCNCC3CCCCC3)CC2)CC1,trypanosoma_cruzi
CHEMBL305575,CHEMBL5131,Ki,9500.0,nM,c1ccc2cc(CNCCCCNCCCNCc3ccc4ccccc4c3)ccc2c1,trypanosoma_cruzi
CHEMBL292314,CHEMBL5131,Ki,80000.0,nM,Nc1c2c(nc3cc(Cl)ccc13)CCCC2,trypanosoma_cruzi
CHEMBL358221,CHEMBL5131,Ki,83000.0,nM,CCN(CC)CCSc1c2ccc(Cl)cc2nc2ccc(OC)cc12,trypanosoma_cruzi
CHEMBL358221,CHEMBL5131,Ki,37000.0,nM,CCN(CC)CCSc1c2ccc(Cl)cc2nc2ccc(OC)cc12,trypanosoma_cruzi
CHEMBL61691,CHEMBL5131,Ki,5500.0,nM,NCCCN(CCCCN(CCCN)Cc1ccc2ccccc2c1)Cc1ccc2ccccc2c1,trypanosoma_cruzi
CHEMBL76954,CHEMBL5131,Ki,7000.0,nM,COc1ccc2nc3cc(Cl)ccc3c(N)c2c1,trypanosoma_cruzi
CHEMBL151397,CHEMBL5131,Ki,11000.0,nM,CCN(CC)CCCCC(C)Nc1c2ccccc2nc2cc(Cl)ccc12,trypanosoma_cruzi
