molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL144826,CHEMBL367,IC50,104000.0,nM,CCCCOc1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,leishmania_donovani
CHEMBL445137,CHEMBL367,IC50,5000.0,nM,C=CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1OC,leishmania_donovani
CHEMBL144090,CHEMBL367,IC50,12000.0,nM,COc1cc(/C=C/C(=O)c2ccc(O)cc2)cc(OC)c1,leishmania_donovani
CHEMBL144861,CHEMBL367,IC50,20000.0,nM,CCCCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2OC)c1,leishmania_donovani
CHEMBL144046,CHEMBL367,IC50,3800.0,nM,COc1cc(/C=C/C(=O)c2ccccc2O)cc(OC)c1,leishmania_donovani
CHEMBL142839,CHEMBL367,IC50,30000.0,nM,CN(C)c1ccc(/C=C/C(=O)c2ccc(N(C)C)cc2)cc1,leishmania_donovani
CHEMBL144634,CHEMBL367,IC50,41000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1,leishmania_donovani
CHEMBL145758,CHEMBL367,IC50,3400.0,nM,COc1cc(/C=C/C(=O)c2ccccc2[N+](=O)[O-])cc(OC)c1,leishmania_donovani
CHEMBL324609,CHEMBL367,IC50,111000.0,nM,CC1(C)O[C@H](COP(=O)(O)O)[C@H](C(=O)NO)O1,leishmania_donovani
CHEMBL114160,CHEMBL367,IC50,94000.0,nM,O=C(NO)[C@H](OC1CCCO1)[C@@H](CCO)OC1CCCO1,leishmania_donovani
CHEMBL422836,CHEMBL367,IC50,27000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2cc(OC)cc(OC)c2)cc1,leishmania_donovani
CHEMBL145561,CHEMBL367,IC50,9300.0,nM,COc1ccc(C(=O)/C=C/c2ccccc2O)c(OC)c1OC,leishmania_donovani
CHEMBL144686,CHEMBL367,IC50,16000.0,nM,COc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,leishmania_donovani
CHEMBL145117,CHEMBL367,IC50,8700.0,nM,COc1ccc(C(=O)/C=C/c2cccc(Oc3ccccc3)c2)c(OC)c1OC,leishmania_donovani
CHEMBL145682,CHEMBL367,IC50,8600.0,nM,COc1ccc(C(=O)/C=C/c2ccc(C#N)cc2)c(OC)c1OC,leishmania_donovani
CHEMBL113708,CHEMBL367,IC50,105000.0,nM,O=C1OC[C@@H](OC2CCCO2)[C@H]1OC1CCCO1,leishmania_donovani
CHEMBL144022,CHEMBL367,IC50,49000.0,nM,COc1cc(O)ccc1/C=C/C(=O)c1ccc(N(C)C)cc1,leishmania_donovani
CHEMBL144721,CHEMBL367,IC50,16000.0,nM,COc1ccc(/C=C/C(=O)c2ccccc2OC)c(OC)c1,leishmania_donovani
CHEMBL358518,CHEMBL367,IC50,39000.0,nM,COc1cc(O)cc(C)c1/C=C/C(=O)c1ccc(O)cc1,leishmania_donovani
CHEMBL142854,CHEMBL367,IC50,26000.0,nM,COc1ccc(/C=C/C(=O)c2ccc(F)cc2F)c(OC)c1,leishmania_donovani
CHEMBL145951,CHEMBL367,IC50,35000.0,nM,CCCCOc1ccc(C(=O)/C=C/c2cc(OC)cc(OC)c2)cc1,leishmania_donovani
