molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL7976,CHEMBL367,IC50,20000.0,nM,O=C(/C=C/c1ccccc1)c1ccccc1,leishmania_donovani,4.698970004336019
CHEMBL145666,CHEMBL367,IC50,106000.0,nM,COc1cc(OC)c(/C=C/C(=O)c2ccc(O)cc2)c(OC)c1,leishmania_donovani,3.9746941347352296
CHEMBL145495,CHEMBL367,IC50,15000.0,nM,O=C(/C=C/c1ccccc1)c1ccc(F)cc1,leishmania_donovani,4.823908740944319
CHEMBL58124,CHEMBL367,IC50,15000.0,nM,COc1ccc(C(=O)/C=C/c2ccccc2F)c(OC)c1OC,leishmania_donovani,4.823908740944319
CHEMBL113666,CHEMBL367,IC50,48000.0,nM,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)N(OCc1ccccc1)C(C)=O,leishmania_donovani,4.318758762624412
CHEMBL139702,CHEMBL367,IC50,13000.0,nM,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,leishmania_donovani,4.886056647693163
CHEMBL144875,CHEMBL367,IC50,16000.0,nM,COc1ccc(C(=O)/C=C/c2ccc(F)c(F)c2)c(OC)c1,leishmania_donovani,4.795880017344075
CHEMBL138618,CHEMBL367,IC50,95000.0,nM,CCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,leishmania_donovani,4.022276394711152
CHEMBL144826,CHEMBL367,IC50,104000.0,nM,CCCCOc1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,leishmania_donovani,3.9829666607012197
CHEMBL445137,CHEMBL367,IC50,5000.0,nM,C=CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1OC,leishmania_donovani,5.301029995663981
CHEMBL144090,CHEMBL367,IC50,12000.0,nM,COc1cc(/C=C/C(=O)c2ccc(O)cc2)cc(OC)c1,leishmania_donovani,4.920818753952375
CHEMBL144861,CHEMBL367,IC50,20000.0,nM,CCCCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2OC)c1,leishmania_donovani,4.698970004336019
CHEMBL144046,CHEMBL367,IC50,3800.0,nM,COc1cc(/C=C/C(=O)c2ccccc2O)cc(OC)c1,leishmania_donovani,5.42021640338319
CHEMBL142839,CHEMBL367,IC50,30000.0,nM,CN(C)c1ccc(/C=C/C(=O)c2ccc(N(C)C)cc2)cc1,leishmania_donovani,4.522878745280337
CHEMBL144634,CHEMBL367,IC50,41000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1,leishmania_donovani,4.3872161432802645
CHEMBL145758,CHEMBL367,IC50,3400.0,nM,COc1cc(/C=C/C(=O)c2ccccc2[N+](=O)[O-])cc(OC)c1,leishmania_donovani,5.468521082957745
CHEMBL324609,CHEMBL367,IC50,111000.0,nM,CC1(C)O[C@H](COP(=O)(O)O)[C@H](C(=O)NO)O1,leishmania_donovani,3.9546770212133424
CHEMBL114160,CHEMBL367,IC50,94000.0,nM,O=C(NO)[C@H](OC1CCCO1)[C@@H](CCO)OC1CCCO1,leishmania_donovani,4.026872146400302
CHEMBL422836,CHEMBL367,IC50,27000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2cc(OC)cc(OC)c2)cc1,leishmania_donovani,4.568636235841013
CHEMBL145561,CHEMBL367,IC50,9300.0,nM,COc1ccc(C(=O)/C=C/c2ccccc2O)c(OC)c1OC,leishmania_donovani,5.031517051446065
CHEMBL144686,CHEMBL367,IC50,16000.0,nM,COc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,leishmania_donovani,4.795880017344075
CHEMBL145117,CHEMBL367,IC50,8700.0,nM,COc1ccc(C(=O)/C=C/c2cccc(Oc3ccccc3)c2)c(OC)c1OC,leishmania_donovani,5.060480747381382
CHEMBL145682,CHEMBL367,IC50,8600.0,nM,COc1ccc(C(=O)/C=C/c2ccc(C#N)cc2)c(OC)c1OC,leishmania_donovani,5.0655015487564325
CHEMBL113708,CHEMBL367,IC50,105000.0,nM,O=C1OC[C@@H](OC2CCCO2)[C@H]1OC1CCCO1,leishmania_donovani,3.9788107009300617
CHEMBL144022,CHEMBL367,IC50,49000.0,nM,COc1cc(O)ccc1/C=C/C(=O)c1ccc(N(C)C)cc1,leishmania_donovani,4.309803919971486
CHEMBL144721,CHEMBL367,IC50,16000.0,nM,COc1ccc(/C=C/C(=O)c2ccccc2OC)c(OC)c1,leishmania_donovani,4.795880017344075
CHEMBL358518,CHEMBL367,IC50,39000.0,nM,COc1cc(O)cc(C)c1/C=C/C(=O)c1ccc(O)cc1,leishmania_donovani,4.4089353929735005
CHEMBL142854,CHEMBL367,IC50,26000.0,nM,COc1ccc(/C=C/C(=O)c2ccc(F)cc2F)c(OC)c1,leishmania_donovani,4.585026652029182
CHEMBL145951,CHEMBL367,IC50,35000.0,nM,CCCCOc1ccc(C(=O)/C=C/c2cc(OC)cc(OC)c2)cc1,leishmania_donovani,4.455931955649724
CHEMBL358286,CHEMBL367,IC50,7300.0,nM,COc1cc(/C=C/C(=O)c2ccccc2N(C)C)cc(OC)c1,leishmania_donovani,5.136677139879544
CHEMBL55,CHEMBL367,IC50,450.0,ug.mL-1,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,leishmania_donovani,6.346787486224656
