molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL3597032,CHEMBL612893,IC50,4200.0,nM,CC(=O)[C@]1(Cc2ccc(Cl)cc2)CC[C@]2(C)OO[C@@]1(C)O2,schistosoma_mansoni,5.376750709602099
CHEMBL3597033,CHEMBL612893,IC50,11200.0,nM,CC(=O)[C@@]1(Cc2ccc(Cl)cc2)CC[C@]2(C)OO[C@@]1(C)O2,schistosoma_mansoni,4.950781977329818
CHEMBL3597034,CHEMBL612893,IC50,6600.0,nM,CC(=O)[C@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2,schistosoma_mansoni,5.180456064458132
CHEMBL3597035,CHEMBL612893,IC50,4200.0,nM,CC(=O)[C@@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2,schistosoma_mansoni,5.376750709602099
CHEMBL3597036,CHEMBL612893,IC50,4400.0,nM,CC[C@]12OO[C@@]3(CC(C)C)OC(C)(CCC31)O2,schistosoma_mansoni,5.356547323513812
CHEMBL3597037,CHEMBL612893,IC50,2000.0,nM,CC(C)C[C@@]12OO[C@]3(C)OC(C)(CCC31)O2,schistosoma_mansoni,5.698970004336019
CHEMBL3797232,CHEMBL3797017,IC50,191.4,nM,O=C(NO)c1ccc(Cl)c(NC(=O)c2ccc(Cl)cc2Cl)c1,schistosoma_mansoni,6.718058066559175
CHEMBL3799246,CHEMBL3797017,IC50,92.0,nM,CCOc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1,schistosoma_mansoni,7.036212172654444
CHEMBL3798481,CHEMBL3797017,IC50,8205.0,nM,O=C(NO)c1ccc2ccccc2n1,schistosoma_mansoni,5.085921414610888
CHEMBL3797516,CHEMBL3797017,IC50,268.2,nM,COc1ccc(C(=O)NO)cc1OCc1ccccc1,schistosoma_mansoni,6.5715412264844195
CHEMBL3800182,CHEMBL3797017,IC50,485.0,nM,COc1ccc(C(=O)NO)cc1S(=O)(=O)Nc1ccc(C)cc1,schistosoma_mansoni,6.314258261397736
CHEMBL98,CHEMBL3797017,IC50,1560.0,nM,O=C(CCCCCCC(=O)Nc1ccccc1)NO,schistosoma_mansoni,5.806875401645538
CHEMBL3800287,CHEMBL3797017,IC50,1480.0,nM,CC1Sc2ccc(C(=O)NO)cc2NC1=O,schistosoma_mansoni,5.8297382846050425
CHEMBL3798613,CHEMBL3797017,IC50,1220.0,nM,O=C1CCSc2ccc(C(=O)NO)cc2N1,schistosoma_mansoni,5.913640169325252
CHEMBL2170177,CHEMBL3797017,IC50,435.6,nM,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,schistosoma_mansoni,6.3609121289162625
CHEMBL3798892,CHEMBL3797017,IC50,305.0,nM,CCOc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2OC)cc1,schistosoma_mansoni,6.515700160653214
CHEMBL3797540,CHEMBL3797017,IC50,289.7,nM,COc1ccc(C(=O)NO)cc1NC(=O)c1cccc(-c2ccccc2)c1,schistosoma_mansoni,6.538051504796238
CHEMBL3797442,CHEMBL3797017,IC50,121.6,nM,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Cl)cc1Cl,schistosoma_mansoni,6.915066425063284
CHEMBL3798937,CHEMBL3797017,IC50,699.3,nM,COc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1Cl,schistosoma_mansoni,6.155336471759761
CHEMBL3798503,CHEMBL3797017,IC50,146.0,nM,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Cl)cc1,schistosoma_mansoni,6.835647144215563
CHEMBL3799297,CHEMBL3797017,IC50,106.0,nM,COc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2OC)cc1,schistosoma_mansoni,6.97469413473523
CHEMBL3800394,CHEMBL3797017,IC50,75.4,nM,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1,schistosoma_mansoni,7.122628654130226
CHEMBL3798183,CHEMBL3797017,IC50,96.1,nM,Cc1ccc(C(=O)NO)cc1NC(=O)c1ccc2ccccc2n1,schistosoma_mansoni,7.017276612331455
CHEMBL3800057,CHEMBL3797017,IC50,220.1,nM,CC(C)Oc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,schistosoma_mansoni,6.657379957446652
CHEMBL3799434,CHEMBL3797017,IC50,266.9,nM,CCCOc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,schistosoma_mansoni,6.573651426212493
CHEMBL3798028,CHEMBL3797017,IC50,129.3,nM,CCOc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,schistosoma_mansoni,6.888401475119606
CHEMBL3799728,CHEMBL3797017,IC50,139.6,nM,O=C(NO)c1ccc(C(F)(F)F)c(NC(=O)c2ccccc2)c1,schistosoma_mansoni,6.855114581712858
CHEMBL3800411,CHEMBL3797017,IC50,150.4,nM,O=C(NO)c1ccc(Br)c(NC(=O)c2ccccc2)c1,schistosoma_mansoni,6.822752163744377
CHEMBL3797843,CHEMBL3797017,IC50,67.0,nM,O=C(NO)c1ccc(Cl)c(NC(=O)c2ccccc2)c1,schistosoma_mansoni,7.173925197299173
CHEMBL3798925,CHEMBL3797017,IC50,177.6,nM,O=C(NO)c1ccc(F)c(NC(=O)c2ccccc2)c1,schistosoma_mansoni,6.750557038557417
CHEMBL3798870,CHEMBL3797017,IC50,189.8,nM,COc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,schistosoma_mansoni,6.721703791908726
CHEMBL3797597,CHEMBL3797017,IC50,116.2,nM,Cc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1,schistosoma_mansoni,6.934793871945688
CHEMBL3797314,CHEMBL3797017,IC50,468.2,nM,O=C(NO)c1cccc(NC(=O)c2ccccc2)c1,schistosoma_mansoni,6.329568590639394
CHEMBL3798833,CHEMBL3797017,IC50,600.3,nM,Cc1ccc(C(=O)NO)cc1NC1CCCCC1,schistosoma_mansoni,6.221631656644126
CHEMBL3798848,CHEMBL3797017,IC50,9290.0,nM,O=C(NO)c1cccc(N(Cc2ccccc2)Cc2ccccc2)c1,schistosoma_mansoni,5.031984286006359
CHEMBL3798268,CHEMBL3797017,IC50,1576.0,nM,CN(C)c1cccc(C(=O)NO)c1,schistosoma_mansoni,5.802443786846464
